Name,Adduct,mz,Formula,MS2,isosmiles,Database,is_oecdpfas,analogue_score,analogue_score_num
6:2:3 FTECA,[M-H]-,435.02811,C11H9F13O3,59.01275:414971 82.64978:3114 89.0231:1597126 113.83991:9137 188.93793:14026 206.65652:6277 216.98891:157429 254.98576:763162 282.98038:113363 292.98572:204183 302.97015:24429 302.98517:307562 311.3638:11803 322.99188:72944,O=C(O)CCOCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Literatures,1,0.7395399738599682,14
n:2 FTSAs n=6,[M-H]-,426.9679019,C8H5F13O3S,79.95736486:1.0 80.965189892:1.0 254.98617898:1.0 292.98298542:1.0 386.9554503439999:1.0 406.96167859599996:1.0,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Literatures,1,0.5330480438199926,6
n:2 FTSO2PAs n=3,[M-H]-,482.9941166,C11H9F13O4S,82.96085346000001:1.0 136.99140464:1.0 216.98937254:1.0 254.98617898:1.0 266.98617898:1.0 282.983321856:1.0 286.992407232:1.0 482.994121596:1.0,O=C(O)CCS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Literatures,1,0.49611408108496835,7
Perfluorooctyl phosphate,[M-H]-,442.972290039063,C8H6F13O4P,78.959:165 96.97:1000,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MoNA,1,0.4193428611626967,2
Perfluorooctyl phosphate,[M-H]-,442.9723,C8H6F13O4P,78.9591:165 96.9695:999,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MassBank,1,0.4193306377798603,2
Perfluorooctyl phosphate,[M-H]-,442.9723,C8H6F13O4P,78.9591:165.0 96.9695:999.0,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MassBank,1,0.4193306377798603,2
"Massbank:EA292453 Perfluorooctyl phosphate|6:2PAP|1H,1H,2H,2H-perfluorooctyllphosphate",M-H,442.972,C8H6F13O4P,78.959099:2316.199951 96.969498:14003.5,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.4193131385670892,2
MoNA:548029 6:2PAP,M-H,442.972,C8H6F13O4P,78.9591:16.540151 96.9695:100.0,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.41931313806841697,2
"Massbank:EA292452 Perfluorooctyl phosphate|6:2PAP|1H,1H,2H,2H-perfluorooctyllphosphate",M-H,442.972,C8H6F13O4P,96.969299:14064.5 442.973694:2945.0,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.4148686271477837,1
MoNA:547481 6:2PAP,M-H,442.972,C8H6F13O4P,96.9693:100.0 442.9737:20.939244,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.4148686271477837,1
Perfluorooctyl phosphate,[M-H]-,442.972290039063,C8H6F13O4P,96.969:1000 442.974:209,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MoNA,1,0.4148686271477837,1
Perfluorooctyl phosphate,[M-H]-,442.9723,C8H6F13O4P,96.9693:999 442.9737:209,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MassBank,1,0.4148686271477837,1
Perfluorooctyl phosphate,[M-H]-,442.9723,C8H6F13O4P,78.959:227 96.9694:999,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MassBank,1,0.4144857619175483,2
"Massbank:EA292459 Perfluorooctyl phosphate|6:2PAP|1H,1H,2H,2H-perfluorooctyllphosphate",M-H,442.972,C8H6F13O4P,78.959:3658.5 96.969398:16047.200195,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.4144245639122104,2
MoNA:548329 6:2PAP,M-H,442.972,C8H6F13O4P,78.959:22.79837 96.9694:100.0,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.4144245635335173,2
MoNA:548329 6:2PAP,M-H,442.972,C8H6F13O4P,78.959:22.79837 96.9694:100.0,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.4144245635335173,2
Perfluorooctyl phosphate,[M-H]-,442.972290039063,C8H6F13O4P,78.959:228 96.969:1000,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MoNA,1,0.41442324450202905,2
Perfluorooctyl phosphate,[M-H]-,442.9723,C8H6F13O4P,78.9589:292 96.9694:999,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MassBank,1,0.40914516886168323,2
Perfluorooctyl phosphate,[M-H]-,442.972290039063,C8H6F13O4P,78.959:293 96.969:1000,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MoNA,1,0.40908664285668467,2
MoNA:548104 6:2PAP,M-H,442.972,C8H6F13O4P,78.9589:29.31991 96.9694:100.0,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.4090701773446491,2
"Massbank:EA292454 Perfluorooctyl phosphate|6:2PAP|1H,1H,2H,2H-perfluorooctyllphosphate",M-H,442.972,C8H6F13O4P,78.9589:3424.800049 96.969398:11680.799805,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.4090701769276808,2
6:2 FTSF,[M-H]-,442.96411,C8H5F13O4S,77.00633:5409 96.95231:4232 96.95865:442201 136.68539:6186 442.96124:61582,O=S(=O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Literatures,1,0.40763779189210303,4
Perfluorooctyl phosphate; LC-ESI-ITFT; MS2; CE,[M-H]-,442.9723322,C8H6F13O4P,422.9653:118.46937566639025 442.97049:29.617343916597562 96.9693:1000.0 78.9591:419.3815898590215 205.01489:54.732851557872294 ,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MoNA,1,0.3999017237298743,4
Perfluorooctyl phosphate,[M-H]-,442.9723,C8H6F13O4P,78.9591:180 96.9695:999 205.0148:154,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MassBank,1,0.39330221317526004,3
Perfluorooctyl phosphate,[M-H]-,442.972290039063,C8H6F13O4P,78.959:181 96.97:1000 205.015:154,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MoNA,1,0.39328172986005155,3
MoNA:548612 6:2PAP,M-H,442.972,C8H6F13O4P,78.9591:18.072373 96.9695:100.0 205.0148:15.431339,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.39325013733886305,3
"Massbank:EA292460 Perfluorooctyl phosphate|6:2PAP|1H,1H,2H,2H-perfluorooctyllphosphate",M-H,442.972,C8H6F13O4P,78.959099:1820.900024 96.969498:10075.599609 205.014801:1554.800049,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.3932501352060248,3
Perfluorooctyl phosphate,[M-H]-,442.9723,C8H6F13O4P,78.959:672 96.9696:999,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MassBank,1,0.3797128049744183,2
"Massbank:EA292461 Perfluorooctyl phosphate|6:2PAP|1H,1H,2H,2H-perfluorooctyllphosphate",M-H,442.972,C8H6F13O4P,78.959:5453.799805 96.969597:8097.600098,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.37965458710854577,2
MoNA:548129 6:2PAP,M-H,442.972,C8H6F13O4P,78.959:67.35082 96.9696:100.0,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.3796545848604077,2
Perfluorooctyl phosphate,[M-H]-,442.972290039063,C8H6F13O4P,78.959:674 96.97:1000,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MoNA,1,0.3796203299442433,2
Perfluorooctyl phosphate,[M-H]-,442.9723,C8H6F13O4P,96.9696:999 205.0149:307,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MassBank,1,0.36284550711277375,2
Perfluorooctyl phosphate,[M-H]-,442.972290039063,C8H6F13O4P,96.97:1000 205.015:308,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MoNA,1,0.3627494162425587,2
MoNA:547560 6:2PAP,M-H,442.972,C8H6F13O4P,96.9696:100.0 205.0149:30.826798,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.36271226232281156,2
"Massbank:EA292458 Perfluorooctyl phosphate|6:2PAP|1H,1H,2H,2H-perfluorooctyllphosphate",M-H,442.972,C8H6F13O4P,96.969597:9487.200195 205.014893:2924.600098,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.3627122614748755,2
6:2 PAP,[M-H]-,442.9723322,C8H6F13O4P,96.96962:100 78.95905:100,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,inhouse standard,1,0.3590703604184417,2
MoNA:547544 6:2PAP,M-H,442.972,C8H6F13O4P,78.959:100.0 96.9696:82.105848,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.3474377701884872,2
"Massbank:EA292456 Perfluorooctyl phosphate|6:2PAP|1H,1H,2H,2H-perfluorooctyllphosphate",M-H,442.972,C8H6F13O4P,78.959:5404.0 96.969597:4437.0,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.34743776983236613,2
Perfluorooctyl phosphate,[M-H]-,442.972290039063,C8H6F13O4P,78.959:1000 96.97:821,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MoNA,1,0.3474334280311869,2
Perfluorooctyl phosphate,[M-H]-,442.9723,C8H6F13O4P,78.959:999 96.9696:820,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MassBank,1,0.34742012141353795,2
Perfluorooctyl phosphate,[M-H]-,442.972290039063,C8H6F13O4P,78.959:1000 96.97:620,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MoNA,1,0.3296700184551723,2
"Massbank:EA292462 Perfluorooctyl phosphate|6:2PAP|1H,1H,2H,2H-perfluorooctyllphosphate",M-H,442.972,C8H6F13O4P,78.959:5484.5 96.969498:3400.0,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.3296625351355239,2
