KEGG ID,ms1,formula1,ms2,formula2,trans,pmd
R00002,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00010,342.1162,C12H22O11,180.0634,C6H12O6,C-6H-10O-5,-162.0528
R00012,522.9907,C10H16N5O14P3,868.0381,C20H28N10O21P4,C10H12N5O7P1,345.0474
R00014,425.045,C12H19N4O7P2S,469.0712,C14H23N4O8P2S,C2H4O1,44.0262
R00015,342.1162,C12H22O11,180.0634,C6H12O6,C-6H-10O-5,-162.0528
R00015,342.1162,C12H22O11,504.169,C18H32O16,C6H10O5,162.0528
R00021,147.0532,C5H9NO4,146.0691,C5H10N2O3,H1N1O-1,-0.9841
R00022,424.1693,C16H28N2O11,221.0899,C8H15NO6,C-8H-13N-1O-5,-203.0794
R00024,309.9855,C5H12O11P2,185.9929,C3H7O7P,C-2H-5O-4P-1,-123.9926
R00025,458.1203,C17H23N4O9P,456.1046,C17H21N4O9P,H-2,-2.0157
R00026,342.1162,C12H22O11,180.0634,C6H12O6,C-6H-10O-5,-162.0528
R00027,212.0837,C14H12O2,106.0419,C7H6O,C-7H-6O-1,-106.0418
R00028,342.1162,C12H22O11,180.0634,C6H12O6,C-6H-10O-5,-162.0528
R00031,181.0739,C9H11NO3,197.0688,C9H11NO4,O1,15.9949
R00032,536.4382,C40H56,284.214,C20H28O,C-20H-28O1,-252.2242
R00033,265.1123,C12H17N4OS,263.0967,C12H15N4OS,H-2,-2.0156
R00036,131.0582,C5H9NO3,226.0954,C10H14N2O4,C5H5N1O1,95.0372
R00039,504.169,C18H32O16,342.1162,C12H22O11,C-6H-10O-5,-162.0528
R00039,504.169,C18H32O16,666.2219,C24H42O21,C6H10O5,162.0529
R00042,180.0423,C9H8O4,152.0473,C8H8O3,C-1O-1,-27.995
R00043,272.1049,C16H16O4,152.0473,C8H8O3,C-8H-8O-1,-120.0576
R00044,338.1392,C20H20NO4,336.1236,C20H18NO4,H-2,-2.0156
R00045,197.0688,C9H11NO4,195.0532,C9H9NO4,H-2,-2.0156
R00047,139.0269,C6H5NO3,111.032,C5H5NO2,C-1O-1,-27.9949
R00048,190.0841,C8H14O5,104.0473,C4H8O3,C-4H-6O-2,-86.0368
R00049,332.0743,C13H16O10,180.0634,C6H12O6,C-7H-4O-4,-152.0109
R00049,332.0743,C13H16O10,484.0853,C20H20O14,C7H4O4,152.011
R00053,322.0325,C14H10O9,170.0215,C7H6O5,C-7H-4O-4,-152.011
R00054,318.074,C16H14O7,168.0423,C8H8O4,C-8H-6O-3,-150.0317
R00055,268.0808,C10H12N4O5,266.0651,C10H10N4O5,H-2,-2.0157
R00058,110.0368,C6H6O2,108.0211,C6H4O2,H-2,-2.0157
R00059,244.1787,C12H24N2O3,131.0946,C6H13NO2,C-6H-11N-1O-1,-113.0841
R00060,332.0896,C17H16O7,330.074,C17H14O7,H-2,-2.0156
R00061,332.0896,C17H16O7,330.074,C17H14O7,H-2,-2.0156
R00062,760.2956,C39H44N4O12,584.2635,C33H36N4O6,C-6H-8O-6,-176.0321
R00062,760.2956,C39H44N4O12,936.3277,C45H52N4O18,C6H8O6,176.0321
R00063,386.1213,C17H22O10,180.0634,C6H12O6,C-11H-10O-4,-206.0579
R00063,386.1213,C17H22O10,592.1792,C28H32O14,C11H10O4,206.0579
R00066,326.1226,C13H18N4O6,376.1383,C17H20N4O6,C4H2,50.0157
R00066,326.1226,C13H18N4O6,276.107,C9H16N4O6,C-4H-2,-50.0156
R00068,176.0321,C6H8O6,174.0164,C6H6O6,H-2,-2.0157
R00069,172.0484,C6H8N2O4,156.0535,C6H8N2O3,O-1,-15.9949
R00070,590.3104,C33H42N4O6,588.2948,C33H40N4O6,H-2,-2.0156
R00072,263.0967,C12H15N4OS,279.0916,C12H15N4O2S,O1,15.9949
R00073,352.225,C20H32O5,368.2199,C20H32O6,O1,15.9949
R00074,109.0528,C6H7NO,212.0586,C12H8N2O2,C6H1N1O1,103.0058
R00075,398.1372,C15H22N6O5S,303.143,C12H21N3O6,C-3H-1N-3O1S-1,-94.9942
R00076,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00080,110.0368,C6H6O2,214.0266,C12H6O4,C6O2,103.9898
R00084,226.0954,C10H14N2O4,854.2858,C40H46N4O17,C30H32N2O13,628.1904
R00085,506.9957,C10H16N5O13P3,347.0631,C10H14N5O7P,H-2O-6P-2,-159.9326
R00086,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00087,506.9957,C10H16N5O13P3,347.0631,C10H14N5O7P,H-2O-6P-2,-159.9326
R00088,506.9957,C10H16N5O13P3,507.9798,C10H15N4O14P3,H-1N-1O1,0.9841
R00089,506.9957,C10H16N5O13P3,329.0525,C10H12N5O6P,H-4O-7P-2,-177.9432
R00091,767.1152,C21H36N7O16P3S,665.1248,C21H29N7O14P2,H-7O-2P-1S-1,-101.9904
R00093,664.1169,C21H28N7O14P2,146.0691,C5H10N2O3,C-16H-18N-5O-11P-2,-518.0478
R00093,147.0532,C5H9NO4,146.0691,C5H10N2O3,H1N1O-1,-0.9841
R00094,664.1169,C21H28N7O14P2,612.152,C20H32N6O12S2,C-1H4N-1O-2P-2S2,-51.9649
R00094,307.0838,C10H17N3O6S,612.152,C20H32N6O12S2,C10H15N3O6S1,305.0682
R00095,664.1169,C21H28N7O14P2,175.0243,C6H7O6,C-15H-21N-7O-8P-2,-489.0926
R00095,176.0321,C6H8O6,665.1248,C21H29N7O14P2,C15H21N7O8P2,489.0927
R00102,664.1169,C21H28N7O14P2,559.0717,C15H23N5O14P2,C-6H-5N-2,-105.0452
R00103,664.1169,C21H28N7O14P2,347.0631,C10H14N5O7P,C-11H-14N-2O-7P-1,-317.0538
R00104,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00104,664.1169,C21H28N7O14P2,744.0833,C21H29N7O17P3,H1O3P1,79.9664
R00105,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00105,665.1248,C21H29N7O14P2,745.0911,C21H30N7O17P3,H1O3P1,79.9663
R00111,745.0911,C21H30N7O17P3,175.0957,C6H13N3O3,C-15H-17N-4O-14P-3,-569.9954
R00111,190.1066,C6H14N4O3,175.0957,C6H13N3O3,H-1N-1,-15.0109
R00112,664.1169,C21H28N7O14P2,744.0833,C21H29N7O17P3,H1O3P1,79.9664
R00112,745.0911,C21H30N7O17P3,665.1248,C21H29N7O14P2,H-1O-3P-1,-79.9663
R00114,744.0833,C21H29N7O17P3,146.0691,C5H10N2O3,C-16H-19N-5O-14P-3,-598.0142
R00114,147.0532,C5H9NO4,146.0691,C5H10N2O3,H1N1O-1,-0.9841
R00115,744.0833,C21H29N7O17P3,612.152,C20H32N6O12S2,C-1H3N-1O-5P-3S2,-131.9313
R00115,307.0838,C10H17N3O6S,612.152,C20H32N6O12S2,C10H15N3O6S1,305.0682
R00118,744.0833,C21H29N7O17P3,664.1169,C21H28N7O14P2,H-1O-3P-1,-79.9664
R00119,744.0833,C21H29N7O17P3,745.0673,C21H28N6O18P3,H-1N-1O1,0.984
R00119,123.032,C6H5NO2,122.048,C6H6N2O,H1N1O-1,-0.984
R00120,307.0838,C10H17N3O6S,612.152,C20H32N6O12S2,C10H15N3O6S1,305.0682
R00122,427.0294,C10H15N5O10P2,347.0631,C10H14N5O7P,H-1O-3P-1,-79.9663
R00123,427.0294,C10H15N5O10P2,428.0134,C10H14N4O11P2,H-1N-1O1,0.984
R00124,506.9957,C10H16N5O13P3,506.9957,C10H16N5O13P3,,0
R00124,427.0294,C10H15N5O10P2,427.0294,C10H15N5O10P2,,0
R00125,836.0483,C20H28N10O19P4,427.0294,C10H15N5O10P2,C-10H-13N-5O-9P-2,-409.0189
R00126,506.9957,C10H16N5O13P3,836.0483,C20H28N10O19P4,C10H12N5O6P1,329.0526
R00126,427.0294,C10H15N5O10P2,836.0483,C20H28N10O19P4,C10H13N5O9P2,409.0189
R00127,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00127,347.0631,C10H14N5O7P,427.0294,C10H15N5O10P2,H1O3P1,79.9663
R00128,586.9621,C10H17N5O16P4,506.9957,C10H16N5O13P3,H-1O-3P-1,-79.9664
R00129,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00129,683.1353,C21H31N7O15P2,665.1248,C21H29N7O14P2,H-2O-1,-18.0105
R00130,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00130,687.1489,C21H35N7O13P2S,767.1152,C21H36N7O16P3S,H1O3P1,79.9663
R00137,506.9957,C10H16N5O13P3,664.1169,C21H28N7O14P2,C11H12N2O1P-1,157.1212
R00137,334.0566,C11H15N2O8P,664.1169,C21H28N7O14P2,C10H13N5O6P1,330.0603
R00139,506.9957,C10H16N5O13P3,497.0002,C10H18N3O14P3,H2N-2O1,-9.9955
R00139,417.0338,C10H17N3O11P2,427.0294,C10H15N5O10P2,H-2N2O-1,9.9956
R00140,427.0294,C10H15N5O10P2,506.9957,C10H16N5O13P3,H1O3P1,79.9663
R00140,417.0338,C10H17N3O11P2,337.0675,C10H16N3O8P,H-1O-3P-1,-79.9663
R00141,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00149,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00150,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00155,404.0022,C9H14N2O12P2,324.0359,C9H13N2O9P,H-1O-3P-1,-79.9663
R00156,506.9957,C10H16N5O13P3,483.9685,C9H15N2O15P3,C-1H-1N-3O2,-23.0272
R00156,404.0022,C9H14N2O12P2,427.0294,C10H15N5O10P2,C1H1N3O-2,23.0272
R00157,347.0631,C10H14N5O7P,404.0022,C9H14N2O12P2,C-1N-3O5P1,56.9391
R00157,483.9685,C9H15N2O15P3,427.0294,C10H15N5O10P2,C1N3O-5P-1,-56.9391
R00158,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00158,324.0359,C9H13N2O9P,404.0022,C9H14N2O12P2,H1O3P1,79.9663
R00159,483.9685,C9H15N2O15P3,404.0022,C9H14N2O12P2,H-1O-3P-1,-79.9663
R00160,785.1571,C27H33N9O15P2,456.1046,C17H21N4O9P,C-10H-12N-5O-6P-1,-329.0525
R00161,506.9957,C10H16N5O13P3,785.1571,C27H33N9O15P2,C17H17N4O2P-1,278.1614
R00161,456.1046,C17H21N4O9P,785.1571,C27H33N9O15P2,C10H12N5O6P1,329.0525
R00162,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00173,247.0246,C8H10NO6P,167.0582,C8H9NO3,H-1O-3P-1,-79.9664
R00174,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00174,167.0582,C8H9NO3,247.0246,C8H10NO6P,H1O3P1,79.9664
R00175,398.1372,C15H22N6O5S,297.0896,C11H15N5O3S,C-4H-7N-1O-2,-101.0476
R00177,398.1372,C15H22N6O5S,506.9957,C10H16N5O13P3,C-5H-6N-1O8P3S-1,108.8585
R00178,398.1372,C15H22N6O5S,355.1552,C14H23N6O3S,C-1H1O-2,-42.982
R00179,398.1372,C15H22N6O5S,297.0896,C11H15N5O3S,C-4H-7N-1O-2,-101.0476
R00180,398.1372,C15H22N6O5S,297.0896,C11H15N5O3S,C-4H-7N-1O-2,-101.0476
R00181,347.0631,C10H14N5O7P,348.0471,C10H13N4O8P,H-1N-1O1,0.984
R00182,347.0631,C10H14N5O7P,230.0192,C5H11O8P,C-5H-3N-5O1,-117.0439
