InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C14H14F13NO5/c15-9(16,1-2-32-3-4-33-6-7(29)28-5-8(30)31)10(17,18)11(19,20)12(21,22)13(23,24)14(25,26)27/h1-6H2,(H,28,29)(H,30,31)",XFMWLAAITGYNPH-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(=O)NCC(O)=O)F)F)F)F)F)F,,,C14H14F13NO5,523.0664394080001,2.5833000000000004,1,1,1,BTM00001,BTM00001,Glycine conjugation,BTMR1325,EC 2.3.1.13,HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
"InChI=1S/C18H19F13O10/c19-13(20,14(21,22)15(23,24)16(25,26)17(27,28)18(29,30)31)1-2-38-3-4-39-5-6(32)40-12-9(35)7(33)8(34)10(41-12)11(36)37/h7-10,12,33-35H,1-5H2,(H,36,37)",ITCDGIUERFAWLH-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(OC1OC(C(O)C(O)C1O)C(O)=O)=O)F)F)F)F)F)F,,,C18H19F13O10,642.0770636679999,1.6146000000000011,1,2,2,BTM00002,BTM00002,O-Glucuronidation of aliphatic acid,BTMR0167,EC 2.4.1.17,HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
"InChI=1S/C19H24F13NO6/c1-33(2,3)9-11(8-12(34)35)39-13(36)10-38-7-6-37-5-4-14(20,21)15(22,23)16(24,25)17(26,27)18(28,29)19(30,31)32/h11H,4-10H2,1-3H3",ZZRBVKFOMOERTJ-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(=O)OC(C[N+](C)(C)C)CC([O-])=O)F)F)F)F)F)F,,,C19H24F13NO6,609.1396043479999,1.4002,1,1,1,BTM00003,BTM00003,Carnitine conjugation,BTMR1324,EC 2.3.1.7,HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
"InChI=1S/C8H3F13O/c9-3(10,1-2-22)4(11,12)5(13,14)6(15,16)7(17,18)8(19,20)21/h2H,1H2",WJSFZGPTEQNWCB-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CC=O)F)F)F)F)F)F,,,C8H3F13O,361.997631576,3.3985,1,0,0,BTM00004,BTM00004,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
"InChI=1S/C4H8O4/c5-1-2-8-3-4(6)7/h5H,1-3H2,(H,6,7)",VDNMIIDPBBCMTM-UHFFFAOYSA-N,OCCOCC(O)=O,,,C4H8O4,120.042258736,-0.8194000000000005,0,0,0,BTM00005,BTM00005,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
"InChI=1S/C8H5F13O/c9-3(10,1-2-22)4(11,12)5(13,14)6(15,16)7(17,18)8(19,20)21/h22H,1-2H2",GRJRKPMIRMSBNK-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCO)F)F)F)F)F)F,,,C8H5F13O,364.01328164,3.3630000000000004,1,0,0,BTM00006,BTM00006,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
"InChI=1S/C4H6O4/c5-1-2-8-3-4(6)7/h1H,2-3H2,(H,6,7)",DNQIKJLNGVXFBP-UHFFFAOYSA-N,C(COCC(O)=O)=O,,,C4H6O4,118.026608672,-0.5631,0,0,0,BTM00007,BTM00007,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
"InChI=1S/C10H7F13O2/c11-5(12,1-3-25-4-2-24)6(13,14)7(15,16)8(17,18)9(19,20)10(21,22)23/h2H,1,3-4H2",TXPNMXMLCWOHRF-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCC=O)F)F)F)F)F)F,,,C10H7F13O2,406.02384632400003,3.4884000000000004,1,0,0,BTM00008,BTM00008,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
"InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)",AEMRFAOFKBGASW-UHFFFAOYSA-N,OCC(O)=O,,,C2H4O3,76.01604398799999,-0.6885000000000001,0,0,0,BTM00009,BTM00009,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
