InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C8H3F13O/c9-3(10,1-2-22)4(11,12)5(13,14)6(15,16)7(17,18)8(19,20)21/h2H,1H2",WJSFZGPTEQNWCB-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CC=O)F)F)F)F)F)F,,,C8H3F13O,361.997631576,3.3985,1,0,0,BTM00001,BTM00001,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
"InChI=1S/C4H8O4/c5-1-2-8-3-4(6)7/h5H,1-3H2,(H,6,7)",VDNMIIDPBBCMTM-UHFFFAOYSA-N,OCCOCC(O)=O,,,C4H8O4,120.042258736,-0.8194000000000005,0,0,0,BTM00002,BTM00002,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
"InChI=1S/C8H5F13O/c9-3(10,1-2-22)4(11,12)5(13,14)6(15,16)7(17,18)8(19,20)21/h22H,1-2H2",GRJRKPMIRMSBNK-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCO)F)F)F)F)F)F,,,C8H5F13O,364.01328164,3.3630000000000004,1,0,0,BTM00003,BTM00003,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
"InChI=1S/C4H6O4/c5-1-2-8-3-4(6)7/h1H,2-3H2,(H,6,7)",DNQIKJLNGVXFBP-UHFFFAOYSA-N,C(COCC(O)=O)=O,,,C4H6O4,118.026608672,-0.5631,0,0,0,BTM00004,BTM00004,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
"InChI=1S/C10H7F13O2/c11-5(12,1-3-25-4-2-24)6(13,14)7(15,16)8(17,18)9(19,20)10(21,22)23/h2H,1,3-4H2",TXPNMXMLCWOHRF-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCC=O)F)F)F)F)F)F,,,C10H7F13O2,406.02384632400003,3.4884000000000004,1,0,0,BTM00005,BTM00005,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
"InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)",AEMRFAOFKBGASW-UHFFFAOYSA-N,OCC(O)=O,,,C2H4O3,76.01604398799999,-0.6885000000000001,0,0,0,BTM00006,BTM00006,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
"InChI=1S/C10H9F13O2/c11-5(12,1-3-25-4-2-24)6(13,14)7(15,16)8(17,18)9(19,20)10(21,22)23/h24H,1-4H2",YAQLJWSYXRXTDO-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCO)F)F)F)F)F)F,,,C10H9F13O2,408.039496388,3.2321,1,0,0,BTM00007,BTM00007,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
"InChI=1S/C2H2O3/c3-1-2(4)5/h1H,(H,4,5)",HHLFWLYXYJOTON-UHFFFAOYSA-N,C(C(O)=O)=O,,,C2H2O3,74.000393924,-0.43220000000000003,0,0,0,BTM00008,BTM00008,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
"InChI=1S/C12H11F13O5/c13-7(14,3-6(28)30-2-1-29-4-5(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h6,28H,1-4H2,(H,26,27)",PJYKJMRCUVLXNB-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CC(OCCOCC(O)=O)O)F)F)F)F)F)F,,,C12H11F13O5,482.039890312,2.4267999999999996,0,1,1,BTM00009,BTM00009,Hydroxylation from CyProduct,BTMR1328,CYP3A4,HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
