InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C14H14F13NO5/c15-9(16,1-2-32-3-4-33-6-7(29)28-5-8(30)31)10(17,18)11(19,20)12(21,22)13(23,24)14(25,26)27/h1-6H2,(H,28,29)(H,30,31)",XFMWLAAITGYNPH-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(=O)NCC(O)=O)F)F)F)F)F)F,,,C14H14F13NO5,523.0664394080001,2.5833000000000004,1,1,1,BTM00001,BTM00001,Glycine conjugation,BTMR1325,EC 2.3.1.13,HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
"InChI=1S/C18H19F13O10/c19-13(20,14(21,22)15(23,24)16(25,26)17(27,28)18(29,30)31)1-2-38-3-4-39-5-6(32)40-12-9(35)7(33)8(34)10(41-12)11(36)37/h7-10,12,33-35H,1-5H2,(H,36,37)",ITCDGIUERFAWLH-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(OC1OC(C(O)C(O)C1O)C(O)=O)=O)F)F)F)F)F)F,,,C18H19F13O10,642.077063668,1.6146000000000011,1,2,2,BTM00002,BTM00002,O-Glucuronidation of aliphatic acid,BTMR0167,EC 2.4.1.17,HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
"InChI=1S/C19H24F13NO6/c1-33(2,3)9-11(8-12(34)35)39-13(36)10-38-7-6-37-5-4-14(20,21)15(22,23)16(24,25)17(26,27)18(28,29)19(30,31)32/h11H,4-10H2,1-3H3",ZZRBVKFOMOERTJ-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(=O)OC(C[N+](C)(C)C)CC([O-])=O)F)F)F)F)F)F,,,C19H24F13NO6,609.139604348,1.4002,1,1,1,BTM00003,BTM00003,Carnitine conjugation,BTMR1324,EC 2.3.1.7,HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C16H14F17NO5/c17-9(18,1-2-38-3-4-39-6-7(35)34-5-8(36)37)10(19,20)11(21,22)12(23,24)13(25,26)14(27,28)15(29,30)16(31,32)33/h1-6H2,(H,34,35)(H,36,37)",JRTJMKDTTAAICI-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(=O)NCC(O)=O)F)F)F)F)F)F)F)F,,,C16H14F17NO5,623.060052288,3.5665000000000004,2,1,1,BTM00001,BTM00001,Glycine conjugation,BTMR1325,EC 2.3.1.13,HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F)F)F,"InChI=1S/C14H11F17O4/c15-7(16,1-2-34-3-4-35-5-6(32)33)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)13(27,28)14(29,30)31/h1-5H2,(H,32,33)",NBOGUPNUTCFENI-UHFFFAOYSA-N,,566.0385
"InChI=1S/C20H19F17O10/c21-13(22,14(23,24)15(25,26)16(27,28)17(29,30)18(31,32)19(33,34)20(35,36)37)1-2-44-3-4-45-5-6(38)46-12-9(41)7(39)8(40)10(47-12)11(42)43/h7-10,12,39-41H,1-5H2,(H,42,43)",IOWNEYWTRMXVSB-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(OC1OC(C(O)C(O)C1O)C(O)=O)=O)F)F)F)F)F)F)F)F,,,C20H19F17O10,742.0706765479999,2.597800000000002,2,2,2,BTM00002,BTM00002,O-Glucuronidation of aliphatic acid,BTMR0167,EC 2.4.1.17,HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F)F)F,"InChI=1S/C14H11F17O4/c15-7(16,1-2-34-3-4-35-5-6(32)33)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)13(27,28)14(29,30)31/h1-5H2,(H,32,33)",NBOGUPNUTCFENI-UHFFFAOYSA-N,,566.0385
"InChI=1S/C21H24F17NO6/c1-39(2,3)9-11(8-12(40)41)45-13(42)10-44-7-6-43-5-4-14(22,23)15(24,25)16(26,27)17(28,29)18(30,31)19(32,33)20(34,35)21(36,37)38/h11H,4-10H2,1-3H3",HVSQTKZUYFTTJC-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(=O)OC(C[N+](C)(C)C)CC([O-])=O)F)F)F)F)F)F)F)F,,,C21H24F17NO6,709.1332172279999,2.383400000000001,2,1,1,BTM00003,BTM00003,Carnitine conjugation,BTMR1324,EC 2.3.1.7,HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F)F)F,"InChI=1S/C14H11F17O4/c15-7(16,1-2-34-3-4-35-5-6(32)33)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)13(27,28)14(29,30)31/h1-5H2,(H,32,33)",NBOGUPNUTCFENI-UHFFFAOYSA-N,,566.0385
InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C18H14F21NO5/c19-9(20,1-2-44-3-4-45-6-7(41)40-5-8(42)43)10(21,22)11(23,24)12(25,26)13(27,28)14(29,30)15(31,32)16(33,34)17(35,36)18(37,38)39/h1-6H2,(H,40,41)(H,42,43)",LZKVIDIQKBFLRW-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(=O)NCC(O)=O)F)F)F)F)F)F)F)F)F)F,,,C18H14F21NO5,723.053665168,4.549700000000001,2,1,1,BTM00001,BTM00001,Glycine conjugation,BTMR1325,EC 2.3.1.13,HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F)F)F)F)F,"InChI=1S/C16H11F21O4/c17-7(18,1-2-40-3-4-41-5-6(38)39)8(19,20)9(21,22)10(23,24)11(25,26)12(27,28)13(29,30)14(31,32)15(33,34)16(35,36)37/h1-5H2,(H,38,39)",CEMDWQYQKLEJMU-UHFFFAOYSA-N,,666.0322
